Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR22213129	Infant gut metagenome	Illumina MiSeq	3987	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213129/SRR22213129.sra	SRR22213129.sra	SRR22213129_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/029/SRR22213129/SRR22213129_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/029/SRR22213129/SRR22213129_1.fastq.gz	SRR22213129_1.fastq.gz	SRR22213129_Infant_gut_metagenome_1.fastq.gz
SRR22213129	Infant gut metagenome	Illumina MiSeq	3987	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213129/SRR22213129.sra	SRR22213129.sra	SRR22213129_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/029/SRR22213129/SRR22213129_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/029/SRR22213129/SRR22213129_2.fastq.gz	SRR22213129_2.fastq.gz	SRR22213129_Infant_gut_metagenome_2.fastq.gz
SRR22213126	Infant gut metagenome	Illumina MiSeq	5421	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213126/SRR22213126.sra	SRR22213126.sra	SRR22213126_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/026/SRR22213126/SRR22213126_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/026/SRR22213126/SRR22213126_1.fastq.gz	SRR22213126_1.fastq.gz	SRR22213126_Infant_gut_metagenome_1.fastq.gz
SRR22213126	Infant gut metagenome	Illumina MiSeq	5421	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213126/SRR22213126.sra	SRR22213126.sra	SRR22213126_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/026/SRR22213126/SRR22213126_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/026/SRR22213126/SRR22213126_2.fastq.gz	SRR22213126_2.fastq.gz	SRR22213126_Infant_gut_metagenome_2.fastq.gz
SRR22213131	Infant gut metagenome	Illumina MiSeq	8099	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213131/SRR22213131.sra	SRR22213131.sra	SRR22213131_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/031/SRR22213131/SRR22213131_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/031/SRR22213131/SRR22213131_1.fastq.gz	SRR22213131_1.fastq.gz	SRR22213131_Infant_gut_metagenome_1.fastq.gz
SRR22213131	Infant gut metagenome	Illumina MiSeq	8099	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213131/SRR22213131.sra	SRR22213131.sra	SRR22213131_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/031/SRR22213131/SRR22213131_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/031/SRR22213131/SRR22213131_2.fastq.gz	SRR22213131_2.fastq.gz	SRR22213131_Infant_gut_metagenome_2.fastq.gz
SRR22213125	Infant gut metagenome	Illumina MiSeq	7733	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213125/SRR22213125.sra	SRR22213125.sra	SRR22213125_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/025/SRR22213125/SRR22213125_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/025/SRR22213125/SRR22213125_1.fastq.gz	SRR22213125_1.fastq.gz	SRR22213125_Infant_gut_metagenome_1.fastq.gz
SRR22213125	Infant gut metagenome	Illumina MiSeq	7733	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213125/SRR22213125.sra	SRR22213125.sra	SRR22213125_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/025/SRR22213125/SRR22213125_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/025/SRR22213125/SRR22213125_2.fastq.gz	SRR22213125_2.fastq.gz	SRR22213125_Infant_gut_metagenome_2.fastq.gz
SRR22213124	Infant gut metagenome	Illumina MiSeq	4771	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213124/SRR22213124.sra	SRR22213124.sra	SRR22213124_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/024/SRR22213124/SRR22213124_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/024/SRR22213124/SRR22213124_1.fastq.gz	SRR22213124_1.fastq.gz	SRR22213124_Infant_gut_metagenome_1.fastq.gz
SRR22213124	Infant gut metagenome	Illumina MiSeq	4771	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213124/SRR22213124.sra	SRR22213124.sra	SRR22213124_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/024/SRR22213124/SRR22213124_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/024/SRR22213124/SRR22213124_2.fastq.gz	SRR22213124_2.fastq.gz	SRR22213124_Infant_gut_metagenome_2.fastq.gz
