# Pathway	SRR22212915	SRR22212916	SRR22212917	SRR22212919	SRR22212920	SRR22212921	SRR22212922	SRR22212927	SRR22212929	SRR22212932	SRR22212934	SRR22212935	SRR22212936	SRR22212938	SRR22212939	SRR22212940	SRR22212941	SRR22212944	SRR22212945	SRR22212946	SRR22212947	SRR22212950	SRR22212951	SRR22212953	SRR22212954	SRR22212957	SRR22212958	SRR22212960	SRR22212967	SRR22212971	SRR22212972	SRR22212973	SRR22212974	SRR22212977	SRR22212978	SRR22212981	SRR22212982	SRR22212984	SRR22212985	SRR22212987	SRR22212988	SRR22212990	SRR22212993	SRR22212994	SRR22212996	SRR22212997	SRR22213000	SRR22213002	SRR22213003	SRR22213004	SRR22213005	SRR22213008	SRR22213011	SRR22213015	SRR22213018	SRR22213019	SRR22213021	SRR22213022	SRR22213025	SRR22213030	SRR22213032	SRR22213034	SRR22213035	SRR22213037	SRR22213038	SRR22213040	SRR22213043	SRR22213044	SRR22213046	SRR22213049	SRR22213051	SRR22213053	SRR22213054	SRR22213055	SRR22213059	SRR22213065	SRR22213066	SRR22213068	SRR22213073	SRR22213074	SRR22213075	SRR22213078	SRR22213079	SRR22213080	SRR22213082	SRR22213083	SRR22213084	SRR22213085	SRR22213087	SRR22213088	SRR22213090	SRR22213091	SRR22213093	SRR22213094	SRR22213096	SRR22213098	SRR22213099	SRR22213101	SRR22213103	SRR22213104	SRR22213105	SRR22213107	SRR22213108	SRR22213109	SRR22213110	SRR22213114	SRR22213116	SRR22213117	SRR22213119	SRR22213122	SRR22213123	SRR22213124	SRR22213125	SRR22213126	SRR22213129	SRR22213131
UNMAPPED	126011	121210	138892	143081	134382	141133	132687	131808	70050	66492.6	130780	72484.5	140324	127181	57877	138523	98005	68396.8	62603	177128	86941.7	120279	142631	68071.4	60690.9	99383.3	69189.4	139311	147832	58579.1	132915	110702	111033	131164	58591.7	126077	131138	67928.6	57513.4	119407	143893	199756	105168	99604.4	143757	110151	124198	137737	182714	113848	155985	81226.8	90439.4	62064.9	130289	275820	131520	95574.3	109107	241450	123385	132934	134415	136660	117120	135438	158130	155326	133209	64595.2	99852.7	119045	89297.1	155746	139403	130440	149117	121562	101977	123876	187280	106028	153049	134133	110882	158556	173846	115219	59134	148697	113466	117648	112778	163950	195455	113642	149958	98188.4	94789	135002	130922	100784	147561	127583	129149	151071	121980	74118.8	66448.5	142026	150911	157448	76560.1	145959	76277.4	137870
UNINTEGRATED	816630	816879	823501	789070	812496	813261	808933	812314	855963	845338	825108	849538	810551	810326	871190	816396	823863	865673	880422	760054	836489	785043	807478	854180	860787	838374	843100	796550	779232	871610	817827	840123	828160	824006	867955	784158	809913	856865	871684	833748	801071	748343	818506	834709	801407	811678	815558	807633	778278	826701	794433	830380	815220	865198	795622	660800	804781	837266	822516	690001	809980	798904	821458	816114	808753	820911	764022	791013	830121	836827	818108	830539	829432	792254	798993	818281	790752	823239	808098	807520	757208	800771	799565	820365	792236	790189	768132	828788	861164	789356	821320	813797	829949	778003	734927	789101	797454	835228	821364	809109	801083	836557	782349	818266	825818	789210	815962	833277	848970	782972	776352	771618	845602	828437	856604	813712
1CMET2-PWY: folate transformations III (E. coli)	147.539	253.057	0	244.552	332.68	280.315	260.137	160.174	216.928	289.602	0	296.282	166.008	269.053	212.775	0	297.963	232.797	168.887	671.831	306.25	108.401	296.86	200.633	230.863	0	250.057	376.226	365.007	215.399	420.45	0	201.333	40.9561	230.747	584.513	345.348	230.331	239.18	405.994	266.453	270.672	243.451	209.943	252.643	313.844	211.63	77.1432	0	378.509	382.919	346.87	0	256.183	298.821	620.933	293.793	172.298	254.854	497.903	223.543	275.608	371.991	358.133	373.026	0	421.952	421.284	22.6635	300.145	361.519	392.602	359.446	504.822	144.514	0	514.668	189.973	97.8147	319.885	496.826	239.51	383.522	62.4891	596.624	415.133	419.374	436.048	186.15	0	272.372	234.051	413.682	411.552	420.411	355.049	379.792	281.512	275.44	237.768	258.752	187.943	345.816	99.8003	50.7624	348.286	195.621	0	224.241	314.965	339.939	334.444	239.761	14.8968	245.182	146.817
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	35.49	0	59.9086	5.04007	0	25.1131	0	0	103.059	0	77.2616	0	0	0	0	0	52.3188	35.0592	0	75.8685	0	0	0	0	0	0	88.9748	0	0	1.54364	0	0	0	0	0	4.9976	0	0	1.06412	33.0932	0	0	0	9.24642	0	0	0	0	27.1088	0.458848	126.537	0	26.9764	0	11.2227	0	0	12.7195	52.1099	30.8889	51.2075	2.5819	7.16879	0	0	0	0	0	128.83	0	0	0	0	0	0	2.26397	0	0	24.4375	0	0	0	0	0	0	0	26.0324	0	0	50.5706	48.0876	0	0	31.9158	5.00306	0	101.182	104.305	17.8761	0	0	0	0	0	0	5.60724	0	7.96907	62.1353	0	0	12.9932	0	120.202	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	45.7451	0	0	0	0	0	0	0	137.899	0	0	0	0	25.2203	111.482	0	0	119.934	104.594	1.31683	0	0	11.9525	141.058	165.178	0	0	36.722	0	95.6659	0	0	0	0	109.931	0	0.525316	0	119.351	0	0	0	0	0	0	0	0	0	0	0	1.03979	0	0	91.0559	0	7.18615	0	0	50.5018	0	16.1312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.26444	0	0	0.698435	0.379465	0	243.707	0	0	0	0	8.20988	0	0	0.340816	0	0	0	0	0	5.14373	12.7376	0	0	0	0	0	0	0	0	0	0	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57582	0	0	3.43196	0	0	11.7028	0	0	0	0	21.8524	0	0	0	0	0	0	0	0	18.0201	0	0	0	0	10.7749	6.53123	23.2757	0	0	0	0	0	0	0	0	0	10.5193	0	1.72358	0	0	0	0	0	0	0	0	0	0	0	3.08216	0	0	0	4.90012	0	0	0	0	0	0	0	0	5.00522	0	1.22462	0	0	3.84724	1.14219	0	0	0	0	0	0	4.61967	47.2057	0	8.75839	0	0	0	0	0	58.5768	0	0	0	0	0	10.2698	0	0	0	13.3292	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	256.28	263.704	66.6924	293.662	271.801	227.889	244.22	291.639	294.539	353.504	194.559	340.879	166.221	316.174	247.638	324.085	324.715	224.329	172.031	278.557	337.681	905.655	248.549	298.12	291.969	147.161	377.796	214.375	363.584	253.424	306.507	0	292.87	197.032	290.097	382.926	297.791	323.55	252.488	309.548	261.193	286.891	263.766	238.921	255.911	314.583	276.725	358.967	350.202	230.096	194.019	371.33	934.554	253.78	299.351	224.248	280.141	267.705	256.619	308.219	262.5	282.045	266.29	165.174	464.269	49.4439	390.484	165.854	0	361.594	346.289	277.588	356.488	119.179	104.316	80.3484	260.645	216.697	878.703	381.032	192.518	824.631	99.0263	42.2382	643.27	267.287	428.701	281.124	317.931	410.578	288.067	259.922	0	174.468	402.326	499.393	256.813	274.645	331.643	195.699	284.156	290.62	342.778	224.703	63.1542	292.304	214.966	896.45	328.51	327.443	0	0	313.124	0	317.104	249.591
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	349.177	352.707	190.715	321.571	330.708	313.673	338.809	382.067	350.499	518.531	416.465	462.713	360.743	457.801	405.942	434.749	367.834	303.277	312.517	488.345	396.507	1066.37	381.678	380.635	352.416	317.019	463.596	272.961	440.498	447.296	410.25	253.974	349.983	344.747	418.861	682.967	375.972	382.727	396.624	386.08	349.499	447.193	336.107	296.001	365.028	380.184	373.681	452.1	447.038	475.195	415.68	507.344	1011.83	374.439	480.682	481.257	422.836	463.684	307.469	482.99	320.35	340.687	404.634	366.316	605.835	194.839	563.977	468.696	57.2016	540.624	438.777	413.399	433.138	524.519	558.809	294.35	489.192	392.753	915.141	459.1	518.388	951.402	383.098	267.191	784.232	458.788	582.983	410.412	409.117	454.601	380.463	323.943	0	418.014	514.792	583.974	496.977	318.561	388.027	291.05	334.238	340.611	425.836	391.439	382.353	376.852	275.688	966.88	433.216	476.167	524.703	518.293	374.581	34.2383	430.379	474.392
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	180.181	312.628	0	176.834	57.1128	0	188.417	0	361.309	385.947	0	330.433	0	181.003	247.241	0	340.465	221.837	191.86	65.5041	224.349	0	121.626	352.814	344.301	0	417.002	268.604	365.037	235.507	68.8879	0	0	24.9908	251.297	0	152.856	319.763	218.018	50.1247	157.392	102.972	0	0	162.437	285.401	207.387	21.1211	0	177.903	41.7896	321.659	0	246.746	24.7181	132.021	19.8437	0	284.271	220.878	309.589	292.63	69.3305	52.3416	0	0	0	44.6204	0	358.275	309.398	36.7748	310.088	20.3617	0	0	55.2089	0	0	207.54	73.5754	26.5603	81.9554	0	0	29.2935	27.2969	182.771	370.439	0	279.227	274.225	0	134.173	218.52	414.763	49.0036	253.697	327.744	156.112	306.536	212.465	239.367	112.165	0	174.429	270.611	0	354.239	0	0	0	345.027	0	308.997	0
