#mpa_vJun23_CHOCOPhlAnSGB_202307																																																																																																																				
clade_name	SRR22212915	SRR22212916	SRR22212917	SRR22212919	SRR22212920	SRR22212921	SRR22212922	SRR22212927	SRR22212929	SRR22212932	SRR22212934	SRR22212935	SRR22212936	SRR22212938	SRR22212939	SRR22212940	SRR22212941	SRR22212944	SRR22212945	SRR22212946	SRR22212947	SRR22212950	SRR22212951	SRR22212953	SRR22212954	SRR22212957	SRR22212958	SRR22212960	SRR22212967	SRR22212971	SRR22212972	SRR22212973	SRR22212974	SRR22212977	SRR22212978	SRR22212981	SRR22212982	SRR22212984	SRR22212985	SRR22212987	SRR22212988	SRR22212990	SRR22212993	SRR22212994	SRR22212996	SRR22212997	SRR22213000	SRR22213002	SRR22213003	SRR22213004	SRR22213005	SRR22213008	SRR22213011	SRR22213015	SRR22213018	SRR22213019	SRR22213021	SRR22213022	SRR22213025	SRR22213030	SRR22213032	SRR22213034	SRR22213035	SRR22213037	SRR22213038	SRR22213040	SRR22213043	SRR22213044	SRR22213046	SRR22213049	SRR22213051	SRR22213053	SRR22213054	SRR22213055	SRR22213059	SRR22213065	SRR22213066	SRR22213068	SRR22213073	SRR22213074	SRR22213075	SRR22213078	SRR22213079	SRR22213080	SRR22213082	SRR22213083	SRR22213084	SRR22213085	SRR22213087	SRR22213088	SRR22213090	SRR22213091	SRR22213093	SRR22213094	SRR22213096	SRR22213098	SRR22213099	SRR22213101	SRR22213103	SRR22213104	SRR22213105	SRR22213107	SRR22213108	SRR22213109	SRR22213110	SRR22213114	SRR22213116	SRR22213117	SRR22213119	SRR22213122	SRR22213123	SRR22213124	SRR22213125	SRR22213126	SRR22213129	SRR22213131
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
k__Bacteria|p__Actinobacteria	85.60468	23.81156	97.60689	21.91891	77.39034	88.97748	44.60716	55.57332	36.13808	12.27892	90.76241	42.23317	88.17806	31.56216	4.80666	76.82278	3.41624	42.3377	0	16.81959	41.44054	0.24212	2.847	18.66454	0	0	7.18986	0.01991	6.61368	0	16.41387	30.0933	0	86.74093	0	20.78996	37.10322	54.02804	0	15.25566	76.98811	25.18363	18.03536	0	78.18851	0	51.92422	65.56972	0	15.60674	8.62271	43.03407	0	0	48.161	2.4333	45.55933	0	0	11.1473	3.85015	0	20.48302	82.64029	7.23996	98.51306	18.42288	10.58841	98.62265	0	71.46136	8.46228	28.63917	3.56641	79.37148	95.00281	8.80439	73.71033	0.22395	47.36723	8.82341	2.93794	3.83232	88.7744	36.39012	23.39505	55.11465	85.16486	0.12036	40.30778	36.96234	0	0	10.18485	40.32744	0	12.40597	11.58766	0	36.79832	2.54009	58.6561	52.53194	88.4118	71.65945	21.38213	0.11644	0	8.07178	23.06667	0.69121	0.02888	20.44473	99.73923	11.52188	80.28636
k__Bacteria|p__Firmicutes	10.96762	1.77886	2.39311	13.47086	6.41809	0.29439	27.52455	44.42668	15.30195	0	9.23759	1.0304	11.20911	23.54824	0	6.26816	74.1793	5.59222	17.09481	30.20956	23.77087	99.69113	55.21093	0.19837	0.22755	100	8.31701	77.18043	0	4.98134	39.54956	69.9067	0	10.88401	24.27508	69.91264	17.93253	10.26187	0.97281	36.54888	12.08814	74.46489	2.37559	8.65364	9.72116	0	22.07697	34.43028	100	1.64863	39.4184	1.98189	100	4.12978	50.02269	40.64705	5.2285	99.91577	2.12159	9.53574	0.88506	5.81972	23.64882	11.84244	92.76004	1.48694	60.78303	57.96968	1.37735	1.09624	10.13261	23.11164	0.20592	54.724	20.52809	4.99719	36.24193	25.02243	99.77605	48.14973	26.70813	97.05406	53.41533	11.08654	63.60988	28.06069	22.70907	0.75	0	59.69222	0.49097	15.51058	0	44.82528	14.56501	0	57.17221	32.38315	39.97571	33.32876	1.06581	27.83675	36.43968	9.97948	28.34055	33.88974	0	100	0	4.77304	0	0	30.57258	0.26077	0	19.71364
k__Bacteria|p__Proteobacteria	3.42769	74.40958	0	64.61023	16.19158	10.72812	27.86829	0	48.55997	87.72108	0	56.73643	0.61283	6.45536	95.19334	0	21.44138	52.07008	82.90519	1.06368	34.78859	0	2.71903	81.13709	99.77245	0	84.49313	22.78371	93.38632	92.96362	3.83928	0	100	2.37505	75.72492	9.2974	8.7903	35.71009	99.02719	1.59343	10.92374	0.29572	79.58906	91.34636	12.09032	100	8.86377	0	0	8.03229	2.04058	54.98404	0	95.87022	1.81631	1.28281	49.21217	0.08423	97.87841	5.05886	95.26479	94.18028	2.11843	5.51727	0	0	20.79409	0.09995	0	98.90376	11.76986	3.35368	23.92541	2.11629	0.08917	0	7.50886	1.26724	0	4.48305	28.34634	0.00799	2.21232	0.13906	0	1.72928	0.79645	14.08514	99.87964	0	62.54669	84.48942	100	5.32719	4.69681	100	1.65592	56.02919	60.02429	29.87292	96.3941	13.50715	10.86608	1.60872	0	3.74056	99.88356	0	91.92822	72.13942	99.30879	99.97112	48.98269	0	88.47812	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	85.60154	23.81156	97.60689	21.91891	77.39034	88.97748	44.25132	55.57332	36.13808	12.27892	90.76241	42.23317	88.17806	22.47634	4.80666	76.82278	2.19067	42.3377	0	16.11897	41.44054	0.24212	2.69385	18.66454	0	0	7.18986	0.01991	6.61368	0	13.27027	30.0933	0	86.74093	0	20.78996	36.9373	54.02804	0	15.06033	76.98811	24.36052	18.03536	0	78.18851	0	51.71956	64.86473	0	13.88832	6.57566	43.03407	0	0	48.161	2.23419	45.55933	0	0	10.53358	3.85015	0	20.02043	82.64029	7.23996	98.51306	18.42288	9.62511	98.62265	0	71.46136	8.24877	28.40903	3.50196	79.37148	95.00281	5.59274	73.71033	0.22395	47.36723	8.04623	2.93794	3.65506	88.7744	36.39012	23.16233	54.46628	85.16486	0.12036	40.16507	36.96234	0	0	5.1041	37.66457	0	12.277	11.58766	0	36.79832	2.54009	58.6561	52.46448	88.4118	71.65945	20.69784	0.11644	0	8.07178	23.06667	0.69121	0.02888	20.44473	99.73923	11.52188	80.28636
k__Bacteria|p__Firmicutes|c__Bacilli	5.22266	0.79033	2.39311	13.47086	5.97462	0.29439	24.68741	44.42668	3.95716	0	9.23759	1.0304	11.20911	0.05908	0	6.26816	0.47134	2.64698	17.09481	0.03629	23.01663	82.30867	0.21745	0.19837	0.22755	100	8.31701	0.05774	0	4.98134	0.06282	69.9067	0	10.88401	24.27508	30.03649	0.81747	8.32467	0.97281	0.29003	0.76457	0.05327	1.61718	8.65364	1.10982	0	12.06597	8.1408	100	0.86975	0.01576	1.98189	100	4.12978	50.02269	0.44046	5.2285	99.91577	0.98873	0	0.88506	5.81972	0.09254	9.48596	91.36924	1.22237	2.8118	0.04549	1.37735	0.86235	10.13261	0.02204	0.07062	0.88045	20.38213	3.96413	0.02346	25.02243	99.77605	3.81535	0.35268	96.96552	0	10.77335	61.72946	0.03616	0.25687	0.75	0	59.69222	0.49097	12.61373	0	0.13665	0.7256	0	0.6117	13.90933	19.6601	33.32876	1.06581	27.83675	1.01884	5.86472	28.34055	0.02179	0	100	0	4.77304	0	0	30.57258	0.26077	0	8.45147
k__Bacteria|p__Firmicutes|c__Negativicutes	4.83176	0.98853	0	0	0	0	0	0	11.34479	0	0	0	0	4.01911	0	0	1.13372	2.94524	0	0.00368	0	0.83888	1.58441	0	0	0	0	9.54449	0	0	2.28193	0	0	0	0	39.87615	5.09019	1.8547	0	1.29082	11.32357	0.11306	0.75841	0	8.61134	0	9.86856	26.28948	0	0.77888	2.00746	0	0	0	0	2.14965	0	0	0	4.11729	0	0	1.23471	0	0	0.26456	37.04543	0.33594	0	0.23389	0	0.34235	0.1353	1.02565	0.14596	1.00855	1.73013	0	0	43.51421	2.67987	0	0.00064	0.31319	1.88042	0.62081	1.08455	0	0	0	0	2.89685	0	21.46915	3.83129	0	1.50643	14.49318	20.31561	0	0	0	11.73914	4.11476	0	2.91899	0	0	0	0	0	0	0	0	0	5.36577
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3.19298	74.40958	0	64.61023	16.19158	10.72812	27.86829	0	48.55997	87.72108	0	56.73643	0.61283	5.20615	95.19334	0	21.44138	52.07008	82.90519	0.08267	34.78859	0	0.998	81.13709	99.77245	0	84.49313	21.96287	93.38632	92.96362	0.41177	0	100	2.37505	75.72492	9.2974	2.75515	35.71009	99.02719	0.60372	10.92374	0.29572	79.58906	91.34636	12.09032	100	8.75208	0	0	8.03229	0.18848	54.98404	0	95.87022	1.81631	1.27586	49.21217	0.08423	97.87841	5.05886	95.26479	94.18028	0.63196	4.06257	0	0	20.79409	0.09995	0	98.90376	11.76986	0.39973	23.67749	0.0664	0.02283	0	0.40182	1.26724	0	4.48305	9.17169	0.00799	0.51666	0.13906	0	0.03644	0.07307	14.08514	99.87964	0	62.54669	84.48942	100	0.695	4.69681	100	0.08257	56.02919	60.02429	29.87292	96.3941	13.50715	5.97104	1.60872	0	2.64086	99.88356	0	91.92822	72.13942	99.30879	99.97112	48.98269	0	88.47812	0
k__Bacteria|p__Firmicutes|c__CFGB1872	0.83091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00068	0	0	0	0	0	0	0	0	0	0	0.05521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.23471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00468	0	0	0	0	0	0	0	0	0.00694	0	0	0	0	0	0	0	1.4547	0	0	0	0	0	0	0	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01421	0	0	0	0	0	0	0	0	0	0	0	0	0
